ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
-0.75214297,-1.1184461,0.3279352,-1.2978575,-1.2224282,-0.2501821,1.0295724,-0.24586003,-2.522071,-1.8314217,-2.0661428,-2.0180326,4
-0.77126324,-1.1170206,0.3296648,-1.2976865,-1.2224293,-0.2491333,1.029509,-0.24583231,-2.5224178,-1.8309687,-2.0648587,-2.0176313,4
-0.78289163,-1.1166813,0.3327715,-1.3018217,-1.2224278,-0.24943107,1.0294477,-0.24581794,-2.5226731,-1.8304,-2.064073,-2.0173435,4
-0.78093535,-1.1167642,0.3336999,-1.301852,-1.2224301,-0.24863635,1.0328449,-0.2469548,-2.521639,-1.8303328,-2.0631368,-2.0176322,4
-0.7740426,-1.116775,0.3352061,-1.303118,-1.2224286,-0.24870083,1.0318071,-0.24660969,-2.5219002,-1.8304977,-2.0627947,-2.0181448,4
-0.7629362,-1.1169548,0.33490124,-1.3030168,-1.2224286,-0.248197,1.0310309,-0.24634062,-2.522203,-1.8319309,-2.0625494,-2.017884,4
-0.74922806,-1.1161705,0.33501354,-1.3020816,-1.2224296,-0.24791418,1.0304929,-0.24616154,-2.5225377,-1.8330117,-2.0621152,-2.0172427,4
-0.7384499,-1.1139864,0.3362563,-1.3051548,-1.2224321,-0.24832098,1.0301074,-0.24603489,-2.5228438,-1.8321822,-2.0619526,-2.0172133,4
-0.7309097,-1.1118276,0.3349053,-1.3037902,-1.2224315,-0.24778472,1.0298513,-0.24598087,-2.5228078,-1.8315759,-2.062443,-2.0177386,4
-0.72712964,-1.1094859,0.3359881,-1.3056333,-1.2224314,-0.24829444,1.0296358,-0.24588774,-2.5226767,-1.8314383,-2.062317,-2.0181801,4
-0.72371286,-1.1082836,0.33539978,-1.3045602,-1.2224283,-0.24791297,1.029509,-0.24583231,-2.5226302,-1.8314928,-2.0620575,-2.0176919,4
-0.71775365,-1.1085879,0.33443072,-1.3043374,-1.2224288,-0.24772124,1.0293863,-0.24580358,-2.5226388,-1.8318189,-2.0622487,-2.017435,4
-0.7048766,-1.1099857,0.33624125,-1.30582,-1.2224338,-0.24800174,1.0293179,-0.2457798,-2.5222142,-1.8320519,-2.0621185,-2.0175893,4
-0.6825343,-1.1113616,0.33556557,-1.3032398,-1.2224305,-0.24751255,1.0292736,-0.2457751,-2.5219264,-1.8320305,-2.061756,-2.0172567,4
-0.654583,-1.1126,0.33655748,-1.3062165,-1.2224299,-0.2480666,1.0292218,-0.24574642,-2.5221426,-1.8324168,-2.0614564,-2.0170355,4
-0.63071096,-1.1136569,0.33535197,-1.3055588,-1.2224302,-0.24759054,1.0292078,-0.24575609,-2.5222142,-1.8320504,-2.0615256,-2.017153,4
-0.62009937,-1.1142852,0.33590913,-1.3056751,-1.2224299,-0.24788445,1.0292107,-0.24572943,-2.5223105,-1.8317783,-2.061331,-2.0176322,4
-0.6148578,-1.1145984,0.33629027,-1.3066177,-1.2224327,-0.2479104,1.0291698,-0.24573953,-2.5216212,-1.8313637,-2.061172,-2.0182316,4
-0.60744816,-1.1150228,0.33301646,-1.2344021,-1.1908675,-0.3074368,1.0291995,-0.24574092,-2.5201533,-1.8313625,-2.0611281,-2.0185127,4
-0.6037373,-1.1158898,0.32455894,-0.9830486,-1.0761522,-0.34823984,1.0292356,-0.24573484,-2.520239,-1.8324342,-2.0607681,-2.0184674,4
-0.60323447,-1.1150343,0.316031,-0.63691336,-0.91522676,-0.37626076,1.0292114,-0.24574813,-2.5206366,-1.8327438,-2.0605102,-2.0185668,4
-0.6004591,-1.1119267,0.3084021,-0.26627913,-0.74040496,-0.39978892,1.0292451,-0.24574043,-2.521099,-1.8335521,-2.0603254,-2.0184286,4
-0.59830505,-1.1096134,0.30417806,0.09185752,-0.56746274,-0.37705126,1.0292485,-0.24574299,-2.5225427,-1.8346876,-2.0601928,-2.018966,4
